Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1982-09-05,117.05,123.64,115.79,122.68,241333334
1982-09-12,122.68,123.22,120.27,120.97,161716667
1982-09-19,120.94,124.88,120.25,122.55,197288889
1982-09-26,122.54,126.43,121.48,123.32,209694444
1982-10-03,123.32,124.16,120.14,121.97,167166666
1982-10-10,121.97,131.11,120.56,131.05,271283334
1982-10-17,131.06,137.97,131.06,133.57,329144445
1982-10-24,133.59,140.4,133.59,138.83,281611111
1982-10-31,138.81,138.81,131.5,133.72,231049999
1982-11-07,133.72,143.99,133.22,142.16,311783334
1982-11-14,142.12,144.36,139.53,139.53,262883333
1982-11-21,139.54,139.54,134.05,137.02,230099999
1982-11-28,137.03,137.1,132.89,134.88,141061110
1982-12-05,134.89,140.37,133.69,138.69,228633333
1982-12-12,138.7,143.68,138.01,139.57,260933334
1982-12-19,139.57,142.5,134.79,137.49,217911112
1982-12-26,137.49,139.94,136.07,139.72,159205555
1983-01-02,139.73,142.34,139.72,140.64,153666666
1983-01-09,140.65,146.46,138.08,145.18,270388888
1983-01-16,145.19,148.36,144.58,146.65,263055555
1983-01-23,146.65,147.9,143.25,143.85,226883332
1983-01-30,143.84,145.47,139.1,144.51,234372223
1983-02-06,144.51,146.14,141.9,146.14,218333333
1983-02-13,146.14,148.81,144.09,147.65,237411111
1983-02-20,147.71,149.41,143.84,148,220072223
1983-02-27,148.01,150.88,145.4,149.74,212427777
1983-03-06,149.74,154.16,147.81,153.67,280816668
1983-03-13,153.67,154.01,150.65,151.24,227961113
1983-03-20,151.28,151.62,149.12,149.9,196261111
1983-03-27,149.82,153.78,149.32,152.67,231344445
1983-04-03,152.67,155.02,151.42,152.96,166766667
1983-04-10,152.92,153.92,150.17,152.85,198416667
1983-04-17,152.87,158.75,152.87,158.75,245338888
1983-04-24,158.75,161.08,158.41,160.42,271361110
1983-05-01,160.43,164.43,158.07,164.43,277588888
1983-05-08,164.41,166.99,160.8,166.1,286372221
1983-05-15,166.1,166.46,163.82,164.91,258150000
1983-05-22,164.9,165.18,161.25,162.14,228861111
1983-05-29,162.06,166.39,160.29,164.46,270627778
1983-06-05,164.44,164.79,161.33,164.42,184016666
1983-06-12,164.43,165.09,160.8,162.68,243738889
1983-06-19,162.7,169.64,162.7,169.13,277783333
1983-06-26,169.13,171.6,168.25,170.41,259900000
1983-07-03,170.4,170.46,165.43,168.64,208383332
1983-07-10,166.55,169.15,165.8,167.08,175911111
1983-07-17,167.09,168.11,164.03,164.29,192994445
1983-07-24,164.28,169.8,163.3,168.89,235072222
1983-07-31,167.67,170.72,161.5,162.56,243277777
1983-08-07,162.34,163.44,159.63,161.74,222644444
1983-08-14,161.73,162.6,158.5,162.16,210138889
1983-08-21,162.22,165.91,162.22,163.98,213338889
1983-08-28,164.18,165.64,159.96,162.14,192894445
1983-09-04,162.14,165.07,160.97,165,184233333
1983-09-11,165.2,168.48,165.03,166.92,188322223
1983-09-18,166.95,169.2,164.17,166.25,226283332
1983-09-25,166.27,170.17,166.26,169.51,261216667
