,p,q,AIC,BIC
0,0.0,1.0,3538.615082444877,3576.456102307995
1,0.0,2.0,3534.298562070484,3588.957812983877
2,1.0,0.0,3524.625999866746,3562.467019729864
3,1.0,1.0,3530.5769200254726,3585.2361709388656
4,1.0,2.0,3534.429687718409,3605.9071696820765
5,2.0,0.0,3524.765308907442,3579.424559820835
6,2.0,1.0,3534.2256628830264,3605.703144846694
7,2.0,2.0,3523.716539232018,3612.0122522459606
